metric,value
job_start_timestamp,2026-02-20T22:47:43.839109
job_end_timestamp,2026-02-20T22:51:38.983404
total_runtime_sec,235.1443
model_load_time_sec,134.0570
generation_time_sec,97.7642
num_requests_total,200
num_requests_completed,70
num_requests_skipped,130
total_input_tokens,43036
avg_input_tokens,614.8000
p50_input_tokens,629.5000
p90_input_tokens,737.1000
p99_input_tokens,758.3100
min_input_tokens,420
max_input_tokens,759
total_output_tokens,15838
avg_output_tokens,226.2571
p50_output_tokens,256.0000
p90_output_tokens,256.0000
p99_output_tokens,256.0000
min_output_tokens,4
max_output_tokens,256
total_tokens,58874
throughput_requests_per_sec,0.7160
throughput_tokens_per_sec,602.2042
throughput_output_tokens_per_sec,162.0021
model_name,Qwen/Qwen2.5-72B-Instruct
quantization,none
cloud_provider,aws
instance_type,g6e.24xlarge
gpu_name,L40S
engine,vllm
tensor_parallel_size,4
pipeline_parallel_size,1
max_model_len,1024
max_num_seqs,32
gpu_memory_utilization,0.9000
dtype,auto
kv_cache_dtype,auto
use_async_engine,False
