metric,value
job_start_timestamp,2026-02-19T22:51:12.313894
job_end_timestamp,2026-02-19T22:53:29.736726
total_runtime_sec,137.4228
model_load_time_sec,133.8735
generation_time_sec,0
num_requests_total,200
num_requests_completed,0
num_requests_skipped,200
total_input_tokens,0
avg_input_tokens,0
p50_input_tokens,0
p90_input_tokens,0
p99_input_tokens,0
min_input_tokens,0
max_input_tokens,0
total_output_tokens,0
avg_output_tokens,0
p50_output_tokens,0
p90_output_tokens,0
p99_output_tokens,0
min_output_tokens,0
max_output_tokens,0
total_tokens,0
throughput_requests_per_sec,0
throughput_tokens_per_sec,0
throughput_output_tokens_per_sec,0
model_name,Qwen/Qwen2.5-72B-Instruct
quantization,none
cloud_provider,aws
instance_type,g6e.24xlarge
gpu_name,L40S
engine,vllm
tensor_parallel_size,4
pipeline_parallel_size,1
max_model_len,1024
max_num_seqs,32
gpu_memory_utilization,0.9000
dtype,auto
kv_cache_dtype,auto
use_async_engine,False
