metric,value
job_start_timestamp,2026-02-20T23:28:55.670851
job_end_timestamp,2026-02-20T23:33:12.182262
total_runtime_sec,256.5113
model_load_time_sec,138.0846
generation_time_sec,113.2595
num_requests_total,200
num_requests_completed,200
num_requests_skipped,0
total_input_tokens,532977
avg_input_tokens,2664.8850
p50_input_tokens,2076.0000
p90_input_tokens,3612.8000
p99_input_tokens,6936.9600
min_input_tokens,1754
max_input_tokens,26305
total_output_tokens,46881
avg_output_tokens,234.4050
p50_output_tokens,256.0000
p90_output_tokens,256.0000
p99_output_tokens,256.0000
min_output_tokens,2
max_output_tokens,256
total_tokens,579858
throughput_requests_per_sec,1.7659
throughput_tokens_per_sec,5119.7299
throughput_output_tokens_per_sec,413.9256
model_name,Qwen/Qwen2.5-72B-Instruct
quantization,none
cloud_provider,aws
instance_type,p4d.24xlarge
gpu_name,A100
engine,vllm
tensor_parallel_size,8
pipeline_parallel_size,1
max_model_len,32768
max_num_seqs,32
gpu_memory_utilization,0.9000
dtype,auto
kv_cache_dtype,auto
use_async_engine,False
